chips,missing
467,467
0,0
0,0
31,31
110,110
960,960
571,571
676,676
703,703
859,859
312,312
744,744
425,425
1110,1110
1,1
4,4
290,290
918,918
815,815
738,738
289,289
636,636
1143,1143
0,0
781,781
53,53
281,281
1176,1176
501,501
11,11
12,12
730,730
0,0
1025,1025
0,0
132,132
0,0
13,13
546,546
1046,1046
235,235
1025,1025
165,165
1,1
559,559
749,749
362,362
1035,1035
672,672
100,0
44,44
765,765
100,100
998,998
1166,1166
1079,1079
319,319
92,92
1,1
648,648
712,712
271,271
1167,1167
356,356
937,937
1029,1029
102,102
1156,1156
972,972
1050,1050
757,757
1167,1167
1070,1070
643,643
425,425
1148,1148
111,111
730,730
1066,1066
0,0
238,238
0,0
1179,1179
1079,1079
682,682
550,550
807,807
1027,1027
1006,1006
830,830
359,359
0,0
0,0
100,100
563,563
628,628
0,0
1,1
678,678
0,0
26,26
10,10
518,518
58,58
451,451
25,25
429,429
1012,1012
177,177
788,788
37,37
0,0
6,6
370,370
624,624
875,875
716,716
126,126
108,108
97,97
312,312
10,10
247,247
1,1
813,813
575,575
1113,1113
182,182
1,1
921,921
60,60
79,79
452,452
864,864
384,384
862,862
738,738
687,687
76,76
993,993
610,610
1,1
525,525
11,11
24,24
79,79
203,203
316,316
33,33
369,369
901,901
844,844
270,270
694,694
596,596
935,935
0,0
1115,1115
2,2
948,948
54,54
74,74
1,1
427,427
896,896
1027,1027
672,672
302,302
894,894
193,193
3,3
1160,1160
643,643
814,814
284,284
92,92
722,722
810,810
286,286
91,91
1134,1134
98,98
1,1
559,559
564,564
574,574
498,498
84,84
732,732
1139,1139
809,809
550,550
0,0
29,29
22,22
1154,1154
1052,1052
288,288
866,866
549,549
87,87
730,730
55,55
0,0
0,0
878,878
959,959
4,4
1105,1105
827,827
819,819
374,374
1231,1231
12,12
1081,1081
797,797
564,564
0,0
555,555
307,307
1115,1115
555,555
967,967
896,896
1045,1045
5,5
448,448
951,951
493,493
523,523
113,113
45,45
32,32
319,319
3,3
750,750
71,71
521,521
15,15
874,874
0,0
102,102
176,176
22,22
763,763
87,87
1,1
190,190
1226,1226
50,50
38,38
1,1
584,584
882,882
1147,1147
276,276
1011,1011
1003,1003
1102,1102
0,0
968,968
2,2
193,193
792,792
481,481
1109,1109
510,510
93,93
1,1
0,0
250,250
278,278
725,725
1108,1108
22,22
39,39
300,300
2,2
37,37
710,710
34,34
891,891
505,505
51,51
531,531
685,685
222,222
956,956
994,994
86,86
1097,1097
529,529
2,2
0,0
734,734
545,545
918,918
290,290
542,542
1119,1119
789,789
199,199
17,17
181,181
97,97
5,5
1134,1134
43,43
1,1
999,999
1033,1033
272,272
906,906
423,423
958,958
648,648
751,751
1044,1044
1162,1162
469,469
421,421
102,102
929,929
601,601
1084,1084
882,882
52,52
1197,1197
1,1
674,674
98,98
3,3
505,505
1,1
1183,1183
72,72
1115,1115
724,724
618,618
435,435
597,597
2,2
1092,1092
8,8
156,156
0,0
66,66
97,97
1113,1113
1086,1086
2,2
589,589
1151,1151
1000,1000
1163,1163
1124,1124
5,5
94,94
901,901
1169,1169
40,40
52,52
875,875
559,559
1110,1110
609,609
63,63
3,3
833,833
5,5
163,163
93,93
323,323
725,725
947,947
897,897
630,630
240,240
1,1
89,89
53,53
97,97
1175,1175
673,673
811,811
32,32
0,0
1053,1053
231,231
0,0
776,776
6,6
8,8
101,101
564,564
324,324
363,363
13,13
663,663
1157,1157
3,3
683,683
1103,1103
1,1
17,17
1,1
154,154
23,23
60,60
936,936
0,0
851,851
597,597
881,881
35,35
1054,1054
1139,1139
702,702
58,58
656,656
321,321
1028,1028
1022,1022
6,6
612,612
1128,1128
411,411
723,723
471,471
3,3
65,65
0,0
0,0
658,658
5,5
701,701
996,996
1178,1178
865,865
1159,1159
666,666
81,81
108,108
1089,1089
723,723
438,438
12,12
552,552
1158,1158
5,5
1145,841
305,305
265,265
579,579
1131,1131
998,998
792,792
509,509
207,207
51,51
1036,1036
1066,1066
28,28
4,4
555,555
16,16
1,1
689,689
32,32
541,541
504,504
1130,1130
1178,1178
1172,1172
73,73
1141,1141
577,577
